"","X","AgentNo","Perceived_Support","Vulnerability_Group","Distress","MDD_onset","Appropriate_Received_support_count","Inappropriate_Received_support_count"
"1",1,1,1.18683599866927,"L",42.8210792785341,1,0,0
"2",2,2,3.94956236938015,"L",30.765546024523,NA,0,0
"3",3,3,9.41146813100204,"L",6.93177542835473,NA,0,0
"4",4,4,1.32606474915519,"L",42.2135356400501,1,0,0
"5",5,5,2.33024106128141,"L",37.8316753689538,NA,0,0
"6",6,6,1.61512953229249,"L",40.9521620409055,1,0,0
"7",7,7,9.02153667062521,"L",8.6332945281809,NA,0,0
"8",8,8,4.63493552291766,"L",27.7748268090866,NA,0,0
"9",9,9,0.170360482297838,"L",47.2566088045185,1,0,0
"10",10,10,0.708488952368498,"L",44.9084118442101,1,0,0
"11",11,11,1.11851473106071,"L",43.1192084462806,1,0,0
"12",12,12,9.67876444803551,"L",5.76539149948141,NA,0,0
"13",13,13,6.20399539591745,"L",20.928020090542,NA,0,0
"14",14,14,7.1132210153155,"L",16.9604901149869,NA,0,0
"15",15,15,3.22200998663902,"L",33.9403200583025,NA,0,0
"16",16,16,6.54951175209135,"L",19.4203123545105,NA,0,0
"17",17,17,6.82221692986786,"L",18.230326124213,NA,0,0
"18",18,18,9.96213908540085,"L",4.52884762734175,NA,0,0
"19",19,19,9.46779610356316,"L",6.68598063899712,NA,0,0
"20",20,20,1.96880970383063,"L",39.4088303832846,NA,0,0
"21",21,21,0.887939683161676,"L",44.1253541098399,1,0,0
"22",22,22,4.3252378795296,"L",29.1262347075072,NA,0,0
"23",23,23,4.87909042276442,"L",26.7094236097553,NA,0,0
"24",24,24,7.09797924850136,"L",17.0269996429031,NA,0,0
"25",25,25,6.98269898537546,"L",17.5300407910889,NA,0,0
"26",26,26,1.85023176716641,"L",39.9262613796375,NA,0,0
"27",27,27,1.66566562838852,"L",40.7316408943047,1,0,0
"28",28,28,9.50332400854677,"L",6.53094978088682,NA,0,0
"29",29,29,9.70776896458119,"L",5.63882633637299,NA,0,0
