"","AgentNo","Perceived_Support","Vulnerability_Group","Distress","MDD_onset","Appropriate_Received_support_count","Inappropriate_Received_support_count"
"1",1,2.09725390886888,"L",0,"",0,0
"2",2,5.76707960106432,"L",0,"",0,0
"3",3,4.07732937252149,"L",0,"",0,0
"4",4,6.38332552975044,"L",0,"",0,0
"5",5,3.53496614610776,"L",0,"",0,0
"6",6,5.77639709925279,"L",0,"",0,0
"7",7,4.94280886137858,"L",0,"",0,0
"8",8,7.85209689987823,"L",0,"",0,0
"9",9,2.2430644184351,"L",0,"",0,0
"10",10,4.52499939594418,"L",0,"",0,0
"11",11,2.11296752793714,"L",0,"",0,0
"12",12,6.19239970808849,"L",0,"",0,0
"13",13,0.277761041652411,"L",0,"",0,0
"14",14,5.54527634754777,"L",0,"",0,0
"15",15,9.83433151617646,"L",0,"",0,0
"16",16,3.06479393271729,"L",0,"",0,0
"17",17,9.98247112613171,"L",0,"",0,0
"18",18,6.57496961532161,"L",0,"",0,0
"19",19,4.00024798233062,"L",0,"",0,0
"20",20,1.02294763782993,"L",0,"",0,0
"21",21,6.25697910320014,"L",0,"",0,0
"22",22,9.79538562940434,"L",0,"",0,0
"23",23,6.74287271453068,"L",0,"",0,0
"24",24,6.31426009582356,"L",0,"",0,0
"25",25,6.61323641892523,"L",0,"",0,0
"26",26,1.12950358306989,"L",0,"",0,0
"27",27,9.53485323116183,"L",0,"",0,0
"28",28,8.60807242104784,"L",0,"",0,0
"29",29,1.42859904328361,"L",0,"",0,0
"30",30,3.58349687885493,"L",0,"",0,0
"31",31,9.09037575358525,"L",0,"",0,0
"32",32,7.78366344980896,"L",0,"",0,0
"33",33,5.82231945591047,"L",0,"",0,0
"34",34,5.54954311111942,"L",0,"",0,0
"35",35,7.60908081196249,"L",0,"",0,0
"36",36,8.40983048314229,"L",0,"",0,0
"37",37,6.61475812783465,"L",0,"",0,0
"38",38,1.12684276886284,"L",0,"",0,0
"39",39,3.49629266886041,"L",0,"",0,0
"40",40,6.82099484140053,"L",0,"",0,0
"41",41,2.05616278108209,"L",0,"",0,0
"42",42,9.01741635287181,"L",0,"",0,0
"43",43,1.71613206155598,"L",0,"",0,0
"44",44,8.93326465971768,"L",0,"",0,0
"45",45,1.37831338681281,"L",0,"",0,0
"46",46,7.74550911504775,"L",0,"",0,0
"47",47,5.43508014641702,"L",0,"",0,0
"48",48,8.27415076317266,"L",0,"",0,0
"49",49,2.65043772757053,"L",0,"",0,0
"50",50,7.18239157693461,"L",0,"",0,0
"51",51,2.96868087491021,"L",0,"",0,0
"52",52,4.70757702831179,"L",0,"",0,0
"53",53,2.81446706270799,"L",0,"",0,0
"54",54,4.99051205581054,"L",0,"",0,0
"55",55,7.60095603531227,"L",0,"",0,0
"56",56,8.14239056082442,"L",0,"",0,0
"57",57,2.13366709416732,"L",0,"",0,0
"58",58,8.88271344127133,"L",0,"",0,0
"59",59,3.66549026221037,"L",0,"",0,0
"60",60,1.2323631090112,"L",0,"",0,0
"61",61,5.15148016624153,"L",0,"",0,0
"62",62,9.05891233123839,"L",0,"",0,0
"63",63,6.88095221994445,"L",0,"",0,0
"64",64,0.799083635210991,"L",0,"",0,0
"65",65,0.659600591752678,"L",0,"",0,0
"66",66,7.30328588979319,"L",0,"",0,0
"67",67,6.60688665695488,"L",0,"",0,0
"68",68,1.33526899386197,"L",0,"",0,0
"69",69,4.263108917512,"L",0,"",0,0
"70",70,9.4423193228431,"L",0,"",0,0
"71",71,8.26747887069359,"L",0,"",0,0
"72",72,0.926851416006684,"L",0,"",0,0
"73",73,3.25439779087901,"L",0,"",0,0
"74",74,4.58142415853217,"L",0,"",0,0
"75",75,1.93602717015892,"L",0,"",0,0
"76",76,7.30487612774596,"L",0,"",0,0
"77",77,3.11090301256627,"L",0,"",0,0
"78",78,2.38037132425234,"L",0,"",0,0
"79",79,1.5691483579576,"L",0,"",0,0
"80",80,9.17575748637319,"L",0,"",0,0
"81",81,4.2261038441211,"L",0,"",0,0
"82",82,5.68066089181229,"L",0,"",0,0
"83",83,7.74942155228928,"L",0,"",0,0
"84",84,9.29084045579657,"L",0,"",0,0
"85",85,6.16605818970129,"L",0,"",0,0
"86",86,1.36406330857426,"L",0,"",0,0
"87",87,0.700601893477142,"L",0,"",0,0
"88",88,2.97688004560769,"L",0,"",0,0
"89",89,3.30050396732986,"L",0,"",0,0
"90",90,3.94478612579405,"L",0,"",0,0
"91",91,0.0951267383061349,"L",0,"",0,0
"92",92,1.7970792693086,"L",0,"",0,0
"93",93,8.60458853887394,"L",0,"",0,0
"94",94,6.41889479011297,"L",0,"",0,0
"95",95,6.3241787487641,"L",0,"",0,0
"96",96,2.18963746447116,"L",0,"",0,0
"97",97,9.06428622081876,"L",0,"",0,0
"98",98,3.16421517403796,"L",0,"",0,0
"99",99,4.80316601926461,"L",0,"",0,0
"100",100,9.23664755187929,"L",0,"",0,0
"101",101,0.287603451870382,"L",0,"",0,0
"102",102,6.36028404114768,"L",0,"",0,0
"103",103,0.44810677645728,"L",0,"",0,0
"104",104,8.71253857854754,"L",0,"",0,0
"105",105,4.09703855169937,"L",0,"",0,0
"106",106,4.79409021092579,"L",0,"",0,0
"107",107,6.75874839304015,"L",0,"",0,0
"108",108,7.27503938600421,"L",0,"",0,0
"109",109,4.2022865335457,"L",0,"",0,0
"110",110,6.07680946588516,"L",0,"",0,0
"111",111,8.11032476602122,"L",0,"",0,0
"112",112,0.93647968955338,"L",0,"",0,0
"113",113,1.02685134159401,"L",0,"",0,0
"114",114,9.43943057674915,"L",0,"",0,0
"115",115,0.848336939234287,"L",0,"",0,0
"116",116,1.88271605642512,"L",0,"",0,0
"117",117,4.37009306391701,"L",0,"",0,0
"118",118,2.54849430639297,"L",0,"",0,0
"119",119,0.769231710582972,"L",0,"",0,0
"120",120,4.60344608174637,"L",0,"",0,0
"121",121,4.47002090979367,"L",0,"",0,0
"122",122,5.96967990277335,"L",0,"",0,0
"123",123,7.2409314638935,"L",0,"",0,0
"124",124,5.90226709609851,"L",0,"",0,0
"125",125,0.709548455197364,"L",0,"",0,0
"126",126,8.84830359136686,"L",0,"",0,0
"127",127,0.249658604152501,"L",0,"",0,0
"128",128,9.65966198826209,"L",0,"",0,0
"129",129,5.86269158637151,"L",0,"",0,0
"130",130,9.14049044949934,"L",0,"",0,0
"131",131,8.00323787145317,"L",0,"",0,0
"132",132,6.79308459395543,"L",0,"",0,0
"133",133,1.67354836594313,"L",0,"",0,0
"134",134,0.158889419399202,"L",0,"",0,0
"135",135,8.44530657865107,"L",0,"",0,0
"136",136,8.90413011424243,"L",0,"",0,0
"137",137,2.23855572752655,"L",0,"",0,0
"138",138,6.94609802216291,"L",0,"",0,0
"139",139,6.97032500058413,"L",0,"",0,0
"140",140,9.0629060100764,"L",0,"",0,0
"141",141,9.79086675914004,"L",0,"",0,0
"142",142,7.30906421784312,"L",0,"",0,0
"143",143,3.60796367283911,"L",0,"",0,0
"144",144,2.13769106194377,"L",0,"",0,0
"145",145,5.66203766269609,"L",0,"",0,0
"146",146,5.66298901801929,"L",0,"",0,0
"147",147,7.6746963034384,"L",0,"",0,0
"148",148,4.59513524314389,"L",0,"",0,0
"149",149,3.77954092109576,"L",0,"",0,0
"150",150,1.53533241013065,"L",0,"",0,0
"151",151,2.9614064632915,"H",0,"",0,0
"152",152,3.71174840489402,"H",0,"",0,0
"153",153,6.2361457105726,"H",0,"",0,0
"154",154,2.53075261134654,"H",0,"",0,0
"155",155,5.43117113178596,"H",0,"",0,0
"156",156,6.87139789806679,"H",0,"",0,0
"157",157,0.960888508707285,"H",0,"",0,0
"158",158,4.76747284643352,"H",0,"",0,0
"159",159,0.939100740943104,"H",0,"",0,0
"160",160,7.76205213740468,"H",0,"",0,0
"161",161,6.49885190185159,"H",0,"",0,0
"162",162,8.17576572066173,"H",0,"",0,0
"163",163,7.17690337216482,"H",0,"",0,0
"164",164,7.2886223020032,"H",0,"",0,0
"165",165,1.79267203900963,"H",0,"",0,0
"166",166,8.92433255212381,"H",0,"",0,0
"167",167,9.20077038463205,"H",0,"",0,0
"168",168,9.32097881101072,"H",0,"",0,0
"169",169,2.05221591051668,"H",0,"",0,0
"170",170,7.31119937961921,"H",0,"",0,0
"171",171,0.455188641790301,"H",0,"",0,0
"172",172,6.70321862213314,"H",0,"",0,0
"173",173,2.1258248295635,"H",0,"",0,0
"174",174,4.90684957476333,"H",0,"",0,0
"175",175,7.44784274371341,"H",0,"",0,0
"176",176,8.10977166285738,"H",0,"",0,0
"177",177,9.85982540296391,"H",0,"",0,0
"178",178,1.4725345140323,"H",0,"",0,0
"179",179,6.16238900460303,"H",0,"",0,0
"180",180,1.18316563079134,"H",0,"",0,0
"181",181,4.35425214935094,"H",0,"",0,0
"182",182,1.9030535989441,"H",0,"",0,0
"183",183,2.11625155759975,"H",0,"",0,0
"184",184,9.50371167622507,"H",0,"",0,0
"185",185,1.35459076380357,"H",0,"",0,0
"186",186,0.325725150760263,"H",0,"",0,0
"187",187,4.68874541344121,"H",0,"",0,0
"188",188,0.252885886002332,"H",0,"",0,0
"189",189,1.74604220548645,"H",0,"",0,0
"190",190,1.66387927718461,"H",0,"",0,0
"191",191,2.1811007312499,"H",0,"",0,0
"192",192,7.8151058871299,"H",0,"",0,0
"193",193,4.04278215253726,"H",0,"",0,0
"194",194,9.29169030394405,"H",0,"",0,0
"195",195,1.3547873031348,"H",0,"",0,0
"196",196,4.72956818761304,"H",0,"",0,0
"197",197,3.43537312466651,"H",0,"",0,0
"198",198,3.85267677716911,"H",0,"",0,0
"199",199,3.59996148152277,"H",0,"",0,0
"200",200,5.1656436547637,"H",0,"",0,0
"201",201,9.54073182540014,"H",0,"",0,0
"202",202,6.58127840841189,"H",0,"",0,0
"203",203,5.69545208010823,"H",0,"",0,0
"204",204,4.46124983718619,"H",0,"",0,0
"205",205,2.48760598478839,"H",0,"",0,0
"206",206,5.83054167916998,"H",0,"",0,0
"207",207,7.98485023202375,"H",0,"",0,0
"208",208,0.104186737444252,"H",0,"",0,0
"209",209,5.36708561470732,"H",0,"",0,0
"210",210,9.33073271764442,"H",0,"",0,0
"211",211,0.585439172573388,"H",0,"",0,0
"212",212,3.2559449551627,"H",0,"",0,0
"213",213,2.34504724154249,"H",0,"",0,0
"214",214,3.56869671028107,"H",0,"",0,0
"215",215,6.64974860148504,"H",0,"",0,0
"216",216,9.59646507399157,"H",0,"",0,0
"217",217,8.17303793039173,"H",0,"",0,0
"218",218,9.46361641632393,"H",0,"",0,0
"219",219,6.25575334299356,"H",0,"",0,0
"220",220,2.83149081049487,"H",0,"",0,0
"221",221,5.84912565303966,"H",0,"",0,0
"222",222,8.83807843085378,"H",0,"",0,0
"223",223,1.82227676035836,"H",0,"",0,0
"224",224,4.89500454394147,"H",0,"",0,0
"225",225,8.98827319731936,"H",0,"",0,0
"226",226,2.65242960536852,"H",0,"",0,0
"227",227,0.787729383446276,"H",0,"",0,0
"228",228,8.00541216041893,"H",0,"",0,0
"229",229,7.64844850637019,"H",0,"",0,0
"230",230,8.45799475908279,"H",0,"",0,0
"231",231,0.822168188169599,"H",0,"",0,0
"232",232,7.16449691448361,"H",0,"",0,0
"233",233,3.11214978108183,"H",0,"",0,0
"234",234,1.7060010926798,"H",0,"",0,0
"235",235,7.74783850414678,"H",0,"",0,0
"236",236,9.07104779966176,"H",0,"",0,0
"237",237,0.508101910818368,"H",0,"",0,0
"238",238,6.66043906705454,"H",0,"",0,0
"239",239,9.93078488856554,"H",0,"",0,0
"240",240,4.10151236923411,"H",0,"",0,0
"241",241,4.10988411167637,"H",0,"",0,0
"242",242,7.86740303970873,"H",0,"",0,0
"243",243,4.91721562342718,"H",0,"",0,0
"244",244,6.75351566169411,"H",0,"",0,0
"245",245,9.54842117382213,"H",0,"",0,0
"246",246,3.21383385919034,"H",0,"",0,0
"247",247,2.04303221544251,"H",0,"",0,0
"248",248,8.84232512209564,"H",0,"",0,0
"249",249,5.83357466617599,"H",0,"",0,0
"250",250,9.70321523724124,"H",0,"",0,0
"251",251,9.37908065970987,"H",0,"",0,0
"252",252,2.55409223260358,"H",0,"",0,0
"253",253,1.77041815593839,"H",0,"",0,0
"254",254,7.34372976468876,"H",0,"",0,0
"255",255,8.46451139776036,"H",0,"",0,0
"256",256,9.06442170729861,"H",0,"",0,0
"257",257,7.69034012686461,"H",0,"",0,0
"258",258,7.0693676173687,"H",0,"",0,0
"259",259,4.88240436883643,"H",0,"",0,0
"260",260,6.38518025167286,"H",0,"",0,0
"261",261,8.65499106002972,"H",0,"",0,0
"262",262,8.37817523395643,"H",0,"",0,0
"263",263,2.09510778309777,"H",0,"",0,0
"264",264,3.69150722399354,"H",0,"",0,0
"265",265,7.89052926702425,"H",0,"",0,0
"266",266,9.24422982847318,"H",0,"",0,0
"267",267,5.85113172419369,"H",0,"",0,0
"268",268,7.7186535554938,"H",0,"",0,0
"269",269,4.35150656849146,"H",0,"",0,0
"270",270,9.2407630989328,"H",0,"",0,0
